term,p-value,q-value
SAP30-DT,0.046270860028907665,0.42470039383675967
PLCE1-AS1,0.046270860028907665,0.42470039383675967
FOXC2-AS1,0.046270860028907665,0.42470039383675967
NKX2-2-AS1,0.046270860028907665,0.42470039383675967
PPFIA2-AS1,0.046270860028907665,0.42470039383675967
FOXG1-AS1,0.046270860028907665,0.42470039383675967
XIRP2-AS1,0.046270860028907665,0.42470039383675967
NAV2-AS2,0.046270860028907665,0.42470039383675967
WWC2-AS2,0.046270860028907665,0.42470039383675967
DSCAM-IT1,0.046270860028907665,0.42470039383675967
HMMR-AS1,0.046270860028907665,0.42470039383675967
ADGRL3-AS1,0.046270860028907665,0.42470039383675967
GPR176-DT,0.046270860028907665,0.42470039383675967
NSMCE1-DT,0.046270860028907665,0.42470039383675967
PLCH1-AS2,0.046270860028907665,0.42470039383675967
SPATA3-AS1,0.046270860028907665,0.42470039383675967
PRKCQ-AS1,0.046270860028907665,0.42470039383675967
BAALC-AS2,0.046270860028907665,0.42470039383675967
HIPK1-AS1,0.046270860028907665,0.42470039383675967
DAAM2-AS1,0.046270860028907665,0.42470039383675967
GPR50-AS1,0.046270860028907665,0.42470039383675967
PCDH9-AS1,0.046270860028907665,0.42470039383675967
KRTAP5-AS1,0.046270860028907665,0.42470039383675967
LINC01616,0.046270860028907665,0.42470039383675967
LINC02252,0.046270860028907665,0.42470039383675967
CDKN2A-DT,0.046270860028907665,0.42470039383675967
LINC01960,0.046270860028907665,0.42470039383675967
LINC00210,0.046270860028907665,0.42470039383675967
LINC01704,0.046270860028907665,0.42470039383675967
LINC01822,0.046270860028907665,0.42470039383675967
LINC00377,0.046270860028907665,0.42470039383675967
LINC02607,0.046270860028907665,0.42470039383675967
LINC01428,0.046270860028907665,0.42470039383675967
LINC02048,0.046270860028907665,0.42470039383675967
LINC01738,0.046270860028907665,0.42470039383675967
LINC02668,0.046270860028907665,0.42470039383675967
LINC02249,0.046270860028907665,0.42470039383675967
LINC00368,0.046270860028907665,0.42470039383675967
