"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneName","threshold"
"ENSG00000182985",363.130364690994,-2.98694986784685,0.309869538095013,-9.63937883733178,5.45168581700866e-22,9.84281682831962e-20,9.84281682831962e-20,TRUE
"ENSG00000162433",1219.28554103115,-1.61446262873756,0.167800841761606,-9.62130232356777,6.50028780419406e-22,1.1628358889356e-19,1.1628358889356e-19,TRUE
"ENSG00000156709",1088.04202361389,1.40366640796003,0.146250158435448,9.59770863140356,8.17413504921793e-22,1.44897690295182e-19,1.44897690295182e-19,TRUE
"ENSG00000101197",538.466693648582,-4.19129419986597,0.436742763146796,-9.59671127614589,8.25359211120975e-22,1.44988101420251e-19,1.44988101420251e-19,TRUE
"ENSG00000054793",670.106144108205,1.71328468761671,0.178849446205244,9.5794799702683,9.75347811895996e-22,1.69806312358572e-19,1.69806312358572e-19,TRUE
"ENSG00000282988",1424.07706881283,-1.602927746043,0.167787351593467,-9.55332884642429,1.25594466641576e-21,2.16722699561423e-19,2.16722699561423e-19,TRUE
"ENSG00000102401",874.516317460939,2.07970617668963,0.217780083126251,9.54957012980838,1.30235548663879e-21,2.22759909069911e-19,2.22759909069911e-19,TRUE
"ENSG00000144668",756.18823030611,-2.74255075349827,0.28733971173276,-9.54462833194802,1.36596510369308e-21,2.31608291799229e-19,2.31608291799229e-19,TRUE
"ENSG00000140678",331.070806740126,3.82156798708226,0.400872422524526,9.5331276794139,1.52614514803418e-21,2.56537105530333e-19,2.56537105530333e-19,TRUE
"ENSG00000143847",225.046962597739,-2.76081374121561,0.290717697254577,-9.4965451614664,2.16969350603226e-21,3.61597039949769e-19,3.61597039949769e-19,TRUE
"ENSG00000160691",1862.57918543678,1.62205709874662,0.172731283229997,9.39063884905434,5.96374230179626e-21,9.85483145277333e-19,9.85483145277333e-19,TRUE
"ENSG00000182534",921.900483358031,-1.47330952545621,0.157080028789337,-9.37935609517935,6.63768427364811e-21,1.08763198026777e-18,1.08763198026777e-18,TRUE
"ENSG00000108604",855.267519951177,-1.54982116363863,0.165553201132437,-9.361469020456,7.8635653820378e-21,1.27776384486963e-18,1.27776384486963e-18,TRUE
"ENSG00000167513",621.494477629254,-2.98277524515705,0.320494280713483,-9.30679710888074,1.31745231518469e-20,2.10691187477332e-18,2.10691187477332e-18,TRUE
"ENSG00000112941",1104.01492862414,-1.20323683215984,0.129286693241493,-9.30673375574958,1.3182381082227e-20,2.10691187477332e-18,2.10691187477332e-18,TRUE
"ENSG00000183092",211.866260544677,3.10476337070374,0.333969436172841,9.29654942764559,1.45077512778108e-20,2.28134388843575e-18,2.28134388843575e-18,TRUE
"ENSG00000222009",608.183641608244,1.5512305694232,0.166849124016439,9.29720535584209,1.44185559588129e-20,2.28134388843575e-18,2.28134388843575e-18,TRUE
